# r		V(r)
0.0100	13.7309
0.0300	10.0440
0.0500	8.9197
0.0700	8.9092
0.0900	7.6456
0.1100	7.2368
0.1300	6.4382
0.1500	5.8704
0.1700	5.4433
0.1900	5.1460
0.2100	4.6300
0.2300	4.2560
0.2500	3.9276
0.2700	3.5130
0.2900	3.1550
0.3100	2.8215
0.3300	2.5430
0.3500	2.2500
0.3700	1.9722
0.3900	1.7302
0.4100	1.4944
0.4300	1.2656
0.4500	1.0461
0.4700	0.8569
0.4900	0.6758
0.5100	0.5105
0.5300	0.3611
0.5500	0.2300
0.5700	0.1269
0.5900	0.0340
0.6100	-0.0415
0.6300	-0.0926
0.6500	-0.1107
0.6700	-0.1224
0.6900	-0.1036
0.7100	-0.0656
0.7300	-0.0360
0.7500	0.0136
0.7700	0.0703
0.7900	0.1220
0.8100	0.1783
0.8300	0.2172
0.8500	0.2518
0.8700	0.2738
0.8900	0.2836
0.9100	0.2719
0.9300	0.2530
0.9500	0.2227
0.9700	0.1834
0.9900	0.1406
1.0100	0.0945
1.0300	0.0478
1.0500	0.0016
1.0700	-0.0470
1.0900	-0.0775
1.1100	-0.0991
1.1300	-0.1135
1.1500	-0.1321
1.1700	-0.1255
1.1900	-0.1175
1.2100	-0.1029
1.2300	-0.0830
1.2500	-0.0550
1.2700	-0.0225
1.2900	0.0045
1.3100	0.0304
1.3300	0.0591
1.3500	0.0779
1.3700	0.0895
1.3900	0.0984
1.4100	0.0968
1.4300	0.0832
1.4500	0.0723
1.4700	0.0501
1.4900	0.0247
1.5100	0.0046
1.5300	-0.0235
1.5500	-0.0463
1.5700	-0.0748
1.5900	-0.0853
1.6100	-0.0961
1.6300	-0.1088
1.6500	-0.1109
1.6700	-0.1105
1.6900	-0.1004
1.7100	-0.0932
1.7300	-0.0761
1.7500	-0.0569
1.7700	-0.0326
1.7900	-0.0146
1.8100	0.0043
1.8300	0.0188
1.8500	0.0336
1.8700	0.0435
1.8900	0.0461
1.9100	0.0442
1.9300	0.0403
1.9500	0.0298
1.9700	0.0152
1.9900	0.0067
2.0100	-0.0154
2.0300	-0.0249
2.0500	-0.0343
2.0700	-0.0458
2.0900	-0.0568
2.1100	-0.0632
2.1300	-0.0712
2.1500	-0.0714
2.1700	-0.0715
2.1900	-0.0707
2.2100	-0.0663
2.2300	-0.0546
2.2500	-0.0508
2.2700	-0.0381
2.2900	-0.0297
2.3100	-0.0225
2.3300	-0.0179
2.3500	-0.0104
2.3700	-0.0036
2.3900	-0.0058
2.4100	-0.0058
2.4300	-0.0051
2.4500	-0.0128
2.4700	-0.0209
2.4900	-0.0263
2.5100	-0.0380
2.5300	-0.0407
2.5500	-0.0488
2.5700	-0.0540
2.5900	-0.0606
2.6100	-0.0619
2.6300	-0.0677
2.6500	-0.0701
2.6700	-0.0639
2.6900	-0.0644
2.7100	-0.0594
